Entry,2,4,8,16
20000,0.8136,2.6966,4.0000,3.4286
30000,0.6376,1.6449,4.0752,3.8714
40000,0.5500,1.2370,4.1242,4.0377
50000,0.5079,1.0114,3.5574,3.5957
60000,0.4633,0.8831,2.4270,2.7763
70000,0.4412,0.8228,1.9089,2.5533
80000,0.4246,0.8034,1.7654,2.2196
90000,0.4179,0.7695,1.5212,2.1417
100000,0.3908,0.7443,1.4360,0.8142
110000,0.3886,0.7388,1.3783,1.2125
120000,0.3643,0.6818,1.2934,0.9266
130000,0.3596,0.6822,1.2932,0.7727
140000,0.3335,0.6556,1.2408,0.7160
150000,0.3254,0.6618,1.2404,1.0592
160000,0.2626,0.3996,0.4622,0.2864
180000,0.5200,1.1181,2.0797,1.1561
