Entry,sequential,sequential-dev,2-avg,2-dev,4-avg,4-dev,8-avg,8-dev,16-avg,16-dev
100000,6.562500,0.027726,16.792500,0.503854,8.817500,0.104970,4.570000,0.036742,8.060000,1.181059
110000,7.660000,0.170294,19.712500,0.940196,10.367500,0.209568,5.557500,0.034911,6.317500,1.706303
120000,9.115000,0.226440,25.017500,1.198820,13.370000,0.431393,7.047500,0.205229,9.837500,2.003851
130000,10.982500,0.053561,30.540000,0.585192,16.097500,0.192273,8.492500,0.137181,14.212500,0.695571
140000,12.715000,0.114127,38.127500,1.711949,19.395000,0.468268,10.247500,0.123971,17.757500,0.363756
150000,14.265000,0.204022,43.832500,2.355498,21.555000,0.298789,11.500000,0.112472,13.467500,1.258598
160000,16.497500,0.263095,62.830000,2.715189,41.280000,0.790980,35.692500,0.660582,57.597500,8.192165
180000,6.072857,9.603155,11.678571,28.423096,5.431429,13.283821,2.920000,7.111703,5.252857,12.838248
20000,0.240000,-nan,0.295000,0.005000,0.089000,0.003000,0.060000,-nan,0.070000,-nan
30000,0.542000,0.004000,0.850000,0.000000,0.329500,0.003841,0.133000,0.004583,0.140000,-nan
40000,0.963000,0.004583,1.751000,0.003000,0.778500,0.007263,0.233500,0.004770,0.238500,0.004770
50000,1.503000,0.004583,2.959000,0.004359,1.486000,0.018000,0.422500,0.004330,0.418000,0.005099
60000,2.160000,0.000000,4.662000,0.006782,2.446000,0.019079,0.890000,0.008944,0.778000,0.010296
70000,3.018000,0.005099,6.841000,0.005385,3.668000,0.038678,1.581000,0.008307,1.182000,0.019647
80000,3.921000,0.003000,9.233500,0.025155,4.880500,0.044326,2.221000,0.018138,1.766500,0.011948
90000,4.928000,0.004000,11.792500,0.012990,6.404500,0.052676,3.239500,0.008646,2.301000,0.022561
